Latitude,Longitude,id,address,Flashed,Flashable
48.841006,2.400885,PA_0241,mÃ©tro Bel-Air face sud,False,True
48.844487,2.406932,PA_0242,94-100 avenue Saint-MandÃ©,False,True
48.846819,2.375117,PA_0243,8bis rue Abel,False,True
48.864602,2.371976,PA_0245,47 rue Oberkampf,False,True
48.833349,2.289533,PA_0247,1 rue Firmin Gillot,False,True
48.868299,2.374516,PA_0248,64 rue de la Fontaine au Roi,False,True
48.868861,2.367355,PA_0250,entrÃ©e du mini-square de Jemmapes,False,True
48.860668,2.348006,PA_0251,Ã  l'ouest de la fontaine des Innocents,False,True
48.864059,2.301387,PA_0253,pont de l'Alma cÃ´tÃ© rive droite,False,True
48.871809,2.300541,PA_0254,101 avenue des Champs-Ã‰lysÃ©es,False,True
48.861297,2.291354,PA_0255,sous le banc face Ã  l'arrÃªt de bus Varsovie,False,True
48.860866,2.291805,PA_0256,place de Varsovie,False,True
48.857696,2.285713,PA_0257,mÃ©tro Passy,False,True
48.854483,2.278808,PA_0258,29 avenue de Lamballe,False,True
48.84826,2.259879,PA_0259,78 rue d'Auteuil,False,True
48.847438,2.268704,PA_0260,place de l'Ã‰glise d'Auteuil,False,True
48.848006,2.397285,PA_0262,place de la Nation (cÃ´tÃ© avenue du TrÃ´ne),False,True
48.86995,2.285663,PA_0263,sur les marches du mÃ©tro Victor Hugo,False,True
48.862998,2.275514,PA_0264,115 rue de la Tour,False,True
48.862923,2.272269,PA_0265,face au 27 boulevard Jules Sandeau,False,True
48.864649,2.29564,PA_0266,11 rue de la Manutention,False,True
48.864144,2.290235,PA_0267,10 rue de Magdebourg,False,True
48.879002,2.303607,PA_0268,96 rue de Courcelles,True,True
48.818166,2.45549,PA_0269,sur le Chasseur Ã  pied de la Redoute de Gravelle,False,True
48.86818,2.36524,PA_0270,2 rue Yves Toudic,True,True
48.869135,2.377477,PA_0271,7 rue Vancouleurs,False,True
48.8268,2.364164,PA_0272,96 rue de Tolbiac,True,True
48.860374,2.350215,PA_0273,21 rue Aubry le Boucher,False,True
48.879429,2.365226,PA_0275,14 rue Pierre Dupont,False,True
48.853336,2.375826,PA_0277,31 rue de Charonne,True,True
48.85287,2.40656,PA_0278,53 rue des MaraÃ®chers,False,True
48.87163,2.37615,PA_0279,116 rue du Faubourg du Temple,False,True
48.863872,2.385976,PA_0280,8 rue Spinoza,False,True
48.858056,2.352673,PA_0282,61 rue de la Verrerie,False,True
48.87084,2.37355,PA_0283,101 rue du Faubourg du Temple,False,True
48.86603,2.34607,PA_0285,passage Ben Aiad,False,True
48.887508,2.344445,PA_0286,28 rue du Chevalier de la Barre,False,True
48.867868,2.390122,PA_0291,15 rue des PlÃ¢triÃ¨res,False,True
48.870664,2.37335,PA_0293,84 rue du Faubourg du Temple,False,True
